tenure,monthly_charges,total_charges,support_calls,contract_type,internet_service,payment_method,tech_support,online_security,streaming_services,churn
26,86.92,2234.11,5,One year,Fiber optic,Bank transfer,Yes,No,Yes,1
60,68.38,4209.03,1,Month-to-month,DSL,Bank transfer,No,Yes,Yes,0
41,61.84,2396.75,5,Month-to-month,Fiber optic,Credit card,Yes,No,No,1
29,55.78,1608.64,0,Month-to-month,No,Bank transfer,Yes,No,No,0
15,79.38,1276.98,10,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,1
45,77.56,3496.29,9,One year,DSL,Electronic check,Yes,Yes,Yes,0
65,36.15,2387.42,2,Two year,Fiber optic,Electronic check,No,No,Yes,0
71,67.17,4774.06,8,One year,DSL,Bank transfer,Yes,No,Yes,0
9,75.35,644.78,1,Month-to-month,DSL,Electronic check,No,Yes,Yes,1
1,77.03,0.0,7,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,1
8,41.01,338.35,5,Two year,No,Credit card,No,No,Yes,1
63,94.23,5897.71,5,Two year,Fiber optic,Bank transfer,No,No,No,0
11,22.52,207.7,6,Month-to-month,Fiber optic,Credit card,Yes,No,No,1
8,55.48,418.89,4,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
35,98.02,3517.94,10,One year,DSL,Credit card,No,Yes,Yes,1
35,76.39,2793.89,3,Month-to-month,No,Bank transfer,No,Yes,No,1
33,46.12,1532.82,5,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
5,89.5,424.26,7,Month-to-month,No,Electronic check,No,No,Yes,1
41,76.74,3087.48,3,Month-to-month,No,Electronic check,Yes,No,Yes,1
28,99.62,2812.79,4,Month-to-month,Fiber optic,Mailed check,No,No,No,1
7,93.5,743.65,6,Month-to-month,No,Credit card,No,No,Yes,1
72,81.01,5820.35,5,Month-to-month,No,Bank transfer,Yes,No,No,0
12,68.82,706.89,3,One year,Fiber optic,Mailed check,No,Yes,Yes,1
34,33.32,1166.38,3,One year,DSL,Bank transfer,No,No,Yes,0
33,46.13,1571.56,9,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,1
48,61.91,2892.39,3,Two year,DSL,Bank transfer,No,No,Yes,0
23,79.93,1847.21,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,1
62,71.37,4447.5,4,Month-to-month,DSL,Credit card,Yes,No,No,0
37,48.82,1802.68,7,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
44,20.65,869.06,6,One year,No,Credit card,No,Yes,No,0
35,69.62,2487.5,4,Month-to-month,DSL,Bank transfer,Yes,No,No,0
65,48.56,3136.23,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
47,93.46,4318.36,10,One year,DSL,Electronic check,No,No,Yes,0
3,22.39,0.0,0,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
1,78.48,141.52,6,One year,Fiber optic,Credit card,Yes,Yes,No,1
5,114.15,601.58,10,One year,DSL,Electronic check,No,Yes,No,1
14,37.44,528.56,2,Two year,Fiber optic,Bank transfer,No,Yes,No,0
27,67.16,1791.31,3,Month-to-month,No,Credit card,No,No,Yes,1
9,29.14,235.81,4,Month-to-month,Fiber optic,Electronic check,No,No,No,1
15,82.57,1184.76,7,Two year,Fiber optic,Bank transfer,Yes,No,Yes,1
42,75.05,3130.53,6,One year,Fiber optic,Electronic check,Yes,No,Yes,1
51,60.74,2991.74,8,One year,DSL,Mailed check,Yes,No,No,0
63,72.14,4508.02,10,Month-to-month,No,Bank transfer,No,No,Yes,0
52,109.66,5686.77,2,Month-to-month,Fiber optic,Electronic check,No,No,No,1
4,39.63,189.01,10,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
23,22.26,509.98,9,Month-to-month,DSL,Electronic check,No,Yes,Yes,1
15,106.17,1632.3,0,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,1
43,77.71,3408.99,0,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,0
29,109.07,3215.94,9,One year,Fiber optic,Electronic check,Yes,Yes,No,1
36,79.69,2892.37,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,1
13,101.02,1313.85,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
32,62.97,1966.0,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,0
71,94.99,6781.29,6,Month-to-month,Fiber optic,Mailed check,No,No,No,1
59,111.3,6650.69,8,Month-to-month,No,Mailed check,No,No,No,1
28,77.21,2178.99,7,Month-to-month,No,Electronic check,Yes,Yes,No,1
66,38.08,2609.14,3,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,0
42,46.88,1892.68,1,One year,Fiber optic,Electronic check,Yes,No,Yes,0
45,39.86,1735.99,2,Month-to-month,DSL,Bank transfer,Yes,No,No,0
62,44.69,2813.54,9,One year,DSL,Credit card,No,Yes,Yes,0
57,50.64,2899.69,4,Two year,Fiber optic,Bank transfer,No,No,Yes,0
6,75.51,518.75,8,One year,Fiber optic,Electronic check,Yes,No,No,1
28,78.8,2205.63,7,Month-to-month,DSL,Bank transfer,Yes,Yes,No,1
28,62.65,1710.8,2,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,1
44,81.54,3577.08,8,One year,No,Credit card,Yes,No,Yes,1
30,28.16,768.17,9,Two year,No,Bank transfer,No,No,No,1
62,28.78,1727.93,2,Two year,Fiber optic,Credit card,No,No,No,0
62,37.18,2353.78,9,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
1,71.81,115.45,7,One year,DSL,Bank transfer,Yes,No,No,1
27,41.4,1135.95,0,Two year,Fiber optic,Electronic check,Yes,No,Yes,0
62,48.33,2910.41,3,Two year,No,Bank transfer,Yes,No,No,0
3,60.03,162.17,3,Month-to-month,No,Mailed check,No,Yes,No,1
70,101.19,7022.05,5,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
72,21.39,1598.91,1,Month-to-month,DSL,Credit card,Yes,Yes,No,0
27,84.94,2264.19,6,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,1
9,86.89,727.72,4,One year,Fiber optic,Electronic check,Yes,No,Yes,1
62,99.87,6193.43,9,Two year,No,Credit card,Yes,No,Yes,0
37,113.28,4159.35,5,Two year,DSL,Mailed check,Yes,No,No,0
51,22.01,1196.7,10,Month-to-month,Fiber optic,Bank transfer,No,No,No,1
44,35.38,1519.98,5,One year,DSL,Electronic check,No,No,No,1
24,108.62,2536.92,10,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,1
59,65.85,3777.5,5,One year,Fiber optic,Electronic check,Yes,Yes,Yes,0
32,76.46,2445.18,9,One year,Fiber optic,Mailed check,Yes,No,No,1
52,86.3,4459.5,7,Month-to-month,Fiber optic,Mailed check,Yes,No,No,1
62,87.91,5378.97,9,Month-to-month,Fiber optic,Mailed check,No,No,No,1
58,113.17,6623.32,3,Month-to-month,DSL,Electronic check,No,Yes,No,0
52,119.69,6257.24,9,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,0
12,92.02,1102.83,7,Two year,No,Bank transfer,No,No,No,1
39,48.72,1968.3,8,Month-to-month,DSL,Bank transfer,No,Yes,Yes,1
2,107.98,249.09,3,Month-to-month,DSL,Mailed check,Yes,No,No,1
3,24.92,33.62,0,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,1
56,43.11,2362.2,2,Two year,Fiber optic,Credit card,Yes,Yes,Yes,0
59,109.74,6515.56,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,1
2,45.62,111.06,6,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,1
2,42.07,92.63,0,One year,No,Electronic check,No,Yes,No,1
54,33.81,1783.42,10,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
1,105.91,136.31,3,Month-to-month,DSL,Electronic check,No,Yes,No,1
19,70.01,1292.42,0,One year,Fiber optic,Electronic check,No,Yes,Yes,1
2,87.49,169.88,1,Month-to-month,No,Electronic check,No,No,No,1
53,43.91,2399.58,10,Two year,No,Electronic check,No,Yes,No,0
44,95.8,4182.16,0,One year,Fiber optic,Credit card,Yes,Yes,Yes,0
32,96.0,2993.35,4,Month-to-month,DSL,Bank transfer,Yes,No,No,1
70,51.26,3535.57,6,Month-to-month,No,Credit card,Yes,Yes,No,0
32,61.07,2003.95,2,Two year,Fiber optic,Electronic check,No,Yes,No,1
68,40.97,2798.7,7,One year,Fiber optic,Electronic check,No,No,Yes,0
55,117.66,6464.86,4,Month-to-month,DSL,Bank transfer,Yes,Yes,No,1
56,84.56,4709.91,4,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
17,113.45,1952.92,4,Month-to-month,DSL,Bank transfer,Yes,Yes,No,1
38,50.34,1870.46,7,One year,DSL,Bank transfer,No,No,Yes,1
24,98.19,2371.84,1,Two year,DSL,Bank transfer,No,No,Yes,1
69,96.59,6628.15,1,One year,Fiber optic,Electronic check,No,Yes,Yes,0
70,89.17,6197.02,7,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,0
11,116.56,1250.29,8,Month-to-month,DSL,Bank transfer,No,No,No,1
16,59.36,930.99,10,One year,DSL,Electronic check,Yes,No,No,1
59,33.07,1948.69,9,Two year,DSL,Bank transfer,No,Yes,No,0
70,87.17,6113.67,9,Month-to-month,DSL,Mailed check,Yes,Yes,No,0
3,92.93,94.37,1,Month-to-month,Fiber optic,Bank transfer,No,No,No,1
20,77.51,1509.82,3,Month-to-month,DSL,Mailed check,No,No,Yes,1
59,40.68,2380.54,7,Month-to-month,DSL,Electronic check,No,Yes,No,0
36,70.45,2611.45,1,One year,Fiber optic,Electronic check,No,No,No,0
19,51.22,919.18,3,Two year,DSL,Electronic check,Yes,Yes,No,1
67,62.75,4212.39,9,Month-to-month,DSL,Bank transfer,Yes,No,No,0
19,84.52,1680.63,0,Month-to-month,No,Electronic check,Yes,No,No,1
20,94.52,1824.75,1,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,1
71,43.22,3088.32,6,Two year,No,Bank transfer,No,Yes,Yes,0
52,60.53,3107.45,0,Month-to-month,Fiber optic,Electronic check,No,No,No,0
33,46.92,1523.13,0,Month-to-month,No,Bank transfer,No,No,Yes,1
40,39.86,1554.24,1,Month-to-month,DSL,Credit card,Yes,Yes,No,0
39,98.34,3798.67,3,Month-to-month,Fiber optic,Mailed check,No,No,No,1
1,110.93,247.03,6,Two year,Fiber optic,Mailed check,No,No,No,1
11,57.02,669.44,3,Month-to-month,No,Electronic check,No,No,No,1
57,95.13,5477.5,4,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,0
50,109.7,5509.6,3,One year,No,Mailed check,No,No,No,0
23,104.61,2325.72,3,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
31,38.28,1206.43,8,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
42,115.63,4910.11,5,Two year,No,Bank transfer,No,No,Yes,1
7,57.67,361.02,2,One year,No,Electronic check,No,Yes,Yes,1
16,53.92,910.99,5,One year,Fiber optic,Credit card,No,No,No,1
60,26.24,1609.62,6,One year,DSL,Electronic check,Yes,Yes,Yes,0
2,68.62,229.84,6,Two year,DSL,Electronic check,Yes,No,Yes,1
1,30.9,10.01,7,Month-to-month,DSL,Bank transfer,Yes,Yes,Yes,1
48,44.85,2097.92,3,Month-to-month,DSL,Electronic check,No,No,No,1
12,51.69,602.2,0,Month-to-month,DSL,Mailed check,Yes,Yes,No,1
69,100.88,7032.5,5,Month-to-month,Fiber optic,Mailed check,No,No,No,0
37,107.55,3887.93,7,Month-to-month,No,Credit card,No,No,No,1
32,50.25,1504.58,4,Two year,DSL,Electronic check,No,No,Yes,1
9,105.87,957.3,2,Two year,Fiber optic,Bank transfer,Yes,Yes,No,1
19,105.72,1986.55,3,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,1
48,96.47,4630.95,7,Month-to-month,No,Bank transfer,No,No,Yes,0
3,34.67,151.28,5,Month-to-month,DSL,Credit card,No,No,Yes,1
20,89.03,1752.97,4,Two year,Fiber optic,Credit card,No,Yes,Yes,1
24,114.5,2654.35,8,Month-to-month,No,Bank transfer,Yes,No,Yes,1
54,88.25,4867.72,9,One year,DSL,Electronic check,No,Yes,No,0
33,53.16,1704.42,2,Two year,Fiber optic,Credit card,No,No,Yes,1
24,70.06,1628.49,6,Month-to-month,No,Electronic check,Yes,No,No,1
72,84.57,6144.23,8,Two year,DSL,Mailed check,No,Yes,No,0
36,71.06,2538.94,10,Month-to-month,No,Electronic check,No,Yes,Yes,1
38,32.0,1212.83,10,One year,No,Bank transfer,Yes,No,No,0
25,51.21,1304.39,3,Month-to-month,DSL,Electronic check,Yes,Yes,No,1
18,100.24,1858.5,9,Month-to-month,DSL,Credit card,No,No,Yes,1
66,106.14,6988.57,9,Two year,Fiber optic,Credit card,No,No,No,0
54,33.73,1897.42,2,One year,No,Mailed check,Yes,Yes,Yes,0
35,115.24,3926.61,0,Month-to-month,DSL,Credit card,Yes,No,Yes,0
61,52.88,3263.67,8,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,0
41,86.23,3493.45,0,Month-to-month,DSL,Credit card,No,Yes,Yes,0
33,95.18,3209.55,1,One year,No,Credit card,No,No,No,0
68,101.19,6888.02,8,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,0
33,114.57,3747.16,4,Two year,Fiber optic,Electronic check,Yes,No,No,1
14,51.29,751.2,3,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,1
21,105.85,2267.51,8,Month-to-month,No,Credit card,Yes,No,No,0
48,33.17,1624.25,8,One year,Fiber optic,Electronic check,No,No,No,0
20,90.5,1758.52,1,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,1
8,94.2,729.4,2,Two year,DSL,Electronic check,Yes,No,No,1
7,87.77,614.19,2,One year,Fiber optic,Credit card,No,Yes,No,1
67,45.23,3028.35,4,Month-to-month,Fiber optic,Credit card,No,No,No,0
17,107.3,1861.59,2,One year,Fiber optic,Electronic check,No,No,No,1
33,36.89,1116.62,9,Month-to-month,Fiber optic,Electronic check,No,Yes,No,1
48,25.36,1234.0,5,Month-to-month,Fiber optic,Mailed check,No,No,No,1
59,91.75,5398.75,1,Month-to-month,No,Electronic check,Yes,Yes,Yes,0
22,67.55,1444.17,5,One year,DSL,Credit card,Yes,No,No,1
30,104.91,3110.18,5,Month-to-month,DSL,Bank transfer,No,No,No,1
38,58.34,2206.19,1,Month-to-month,No,Electronic check,Yes,Yes,Yes,1
51,36.83,1698.28,5,Month-to-month,No,Bank transfer,No,Yes,No,0
54,103.64,5561.5,5,Month-to-month,Fiber optic,Mailed check,No,No,Yes,0
8,74.89,555.33,5,Month-to-month,No,Bank transfer,No,No,No,1
27,38.92,1077.48,4,Month-to-month,Fiber optic,Electronic check,No,No,No,1
27,92.04,2444.8,6,Month-to-month,No,Credit card,Yes,Yes,No,1
21,71.11,1482.55,4,Month-to-month,Fiber optic,Credit card,No,No,No,1
30,80.43,2490.01,10,Month-to-month,DSL,Electronic check,No,Yes,No,1
28,66.09,1900.24,0,Two year,Fiber optic,Electronic check,No,No,Yes,1
64,102.87,6628.79,8,One year,No,Credit card,No,Yes,Yes,0
69,102.96,7079.25,2,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,0
61,90.94,5574.49,1,Two year,No,Electronic check,No,Yes,Yes,0
48,30.54,1454.23,9,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
19,103.89,1964.11,5,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
4,87.1,368.88,7,Two year,Fiber optic,Electronic check,No,No,No,1
35,89.7,3109.65,1,One year,Fiber optic,Bank transfer,Yes,No,Yes,0
64,56.3,3677.85,3,Two year,Fiber optic,Electronic check,No,No,Yes,0
49,107.93,5280.56,1,Two year,DSL,Electronic check,No,No,Yes,0
17,92.54,1604.1,8,Month-to-month,No,Credit card,No,Yes,Yes,1
44,31.26,1448.22,9,Two year,Fiber optic,Electronic check,No,No,Yes,1
30,60.78,1874.98,1,Two year,No,Bank transfer,No,No,No,1
46,108.64,4926.99,9,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,1
6,24.72,170.56,1,Two year,Fiber optic,Electronic check,No,Yes,Yes,1
37,116.14,4339.72,4,Month-to-month,Fiber optic,Bank transfer,No,No,No,1
24,87.92,2154.67,4,One year,No,Electronic check,No,Yes,Yes,1
46,83.14,3768.78,6,Month-to-month,DSL,Credit card,No,No,No,1
53,47.06,2461.33,0,Month-to-month,No,Electronic check,No,No,No,1
60,44.88,2742.53,1,One year,Fiber optic,Credit card,No,Yes,No,0
63,114.21,7157.14,10,Month-to-month,No,Credit card,No,Yes,No,0
32,49.83,1579.58,10,One year,No,Electronic check,No,Yes,Yes,1
33,97.55,3297.94,5,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,1
67,59.31,3971.38,1,Month-to-month,Fiber optic,Mailed check,No,Yes,No,0
18,33.93,574.4,3,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
25,21.07,482.87,9,One year,No,Bank transfer,Yes,No,Yes,0
54,74.43,4035.86,5,Two year,Fiber optic,Mailed check,Yes,Yes,Yes,0
58,117.58,6752.98,6,One year,Fiber optic,Bank transfer,Yes,Yes,No,0
67,56.91,3800.6,9,One year,Fiber optic,Bank transfer,Yes,No,Yes,0
46,55.72,2579.78,4,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
24,54.41,1370.8,7,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,1
32,72.05,2338.98,5,Month-to-month,DSL,Electronic check,Yes,Yes,No,0
47,64.07,2975.59,4,Two year,DSL,Electronic check,Yes,No,No,0
23,107.99,2542.69,3,One year,No,Electronic check,No,Yes,No,1
66,70.55,4641.32,5,Month-to-month,No,Electronic check,No,No,No,0
27,70.78,1849.27,5,Month-to-month,DSL,Electronic check,Yes,No,Yes,0
2,33.84,59.08,5,Month-to-month,No,Credit card,Yes,No,Yes,1
17,118.27,2082.5,0,One year,DSL,Credit card,Yes,No,Yes,1
33,45.0,1493.26,5,Month-to-month,Fiber optic,Bank transfer,No,No,No,0
9,27.34,246.69,0,One year,DSL,Mailed check,No,No,No,0
43,86.31,3793.19,4,Month-to-month,No,Electronic check,Yes,Yes,Yes,0
48,79.54,3746.35,6,Month-to-month,No,Electronic check,Yes,No,No,1
39,61.51,2334.61,0,Two year,Fiber optic,Credit card,No,Yes,No,0
42,62.22,2532.45,0,Month-to-month,Fiber optic,Credit card,No,No,No,1
26,98.51,2579.89,5,Two year,Fiber optic,Electronic check,Yes,Yes,Yes,1
50,39.57,1986.82,6,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,0
25,102.03,2627.89,5,Month-to-month,DSL,Electronic check,Yes,No,Yes,1
24,84.87,2049.05,4,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
13,61.9,784.49,5,One year,Fiber optic,Electronic check,Yes,Yes,No,1
60,65.8,3948.09,2,One year,Fiber optic,Electronic check,Yes,No,Yes,0
7,45.66,325.51,8,Month-to-month,DSL,Electronic check,No,No,No,1
57,95.21,5343.38,4,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,0
36,71.29,2701.96,1,One year,Fiber optic,Electronic check,Yes,No,Yes,0
45,52.09,2370.04,9,Month-to-month,No,Bank transfer,No,Yes,No,1
20,79.61,1602.7,9,Month-to-month,DSL,Mailed check,Yes,Yes,No,1
65,119.57,7802.81,6,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
8,63.53,543.71,2,One year,Fiber optic,Credit card,Yes,No,No,1
16,112.07,1786.09,0,Month-to-month,DSL,Electronic check,No,No,Yes,1
14,54.5,731.44,2,Month-to-month,Fiber optic,Electronic check,No,No,No,1
15,25.47,412.02,8,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,1
66,40.42,2687.01,4,Month-to-month,DSL,Credit card,No,No,Yes,0
32,61.87,1939.35,6,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,1
63,41.96,2714.43,2,Two year,Fiber optic,Mailed check,Yes,No,No,0
51,20.02,1035.69,3,Month-to-month,No,Mailed check,No,Yes,Yes,0
25,111.5,2823.99,0,Month-to-month,Fiber optic,Bank transfer,No,No,No,1
58,104.39,6124.22,2,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,0
63,94.23,5937.58,6,Two year,DSL,Bank transfer,No,No,No,0
62,36.78,2296.21,3,Month-to-month,DSL,Credit card,Yes,No,No,0
22,32.04,745.38,1,Two year,No,Bank transfer,No,Yes,Yes,0
58,26.76,1515.84,4,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,1
58,92.4,5361.9,4,Month-to-month,DSL,Electronic check,No,No,Yes,1
49,112.88,5537.4,1,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,1
52,63.05,3230.8,10,One year,No,Electronic check,Yes,Yes,Yes,0
42,31.91,1456.1,5,One year,DSL,Electronic check,No,No,No,0
70,71.24,4916.44,9,Month-to-month,DSL,Electronic check,Yes,No,No,1
15,54.88,758.29,3,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,1
54,57.48,3169.63,0,Month-to-month,No,Electronic check,Yes,No,Yes,0
60,82.13,4963.46,2,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,0
8,91.87,683.66,8,Month-to-month,DSL,Electronic check,No,Yes,Yes,1
53,31.06,1676.54,9,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,0
60,23.56,1486.99,6,One year,Fiber optic,Credit card,No,No,Yes,0
5,119.43,595.64,5,Month-to-month,No,Electronic check,No,No,Yes,1
68,43.27,3072.3,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,0
6,25.38,66.08,8,Month-to-month,Fiber optic,Mailed check,Yes,No,No,1
47,38.99,1867.22,8,Month-to-month,No,Bank transfer,No,No,Yes,0
55,23.9,1372.83,0,Month-to-month,DSL,Credit card,Yes,No,No,0
40,59.18,2411.77,5,Month-to-month,DSL,Bank transfer,Yes,No,Yes,0
52,100.24,5202.26,6,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,1
16,54.12,851.4,1,Two year,Fiber optic,Electronic check,No,No,No,1
